Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
21:32.6,77068,AM1V310 @312248,12235,E203F7FFE6FF,994,-9,-26
21:32.7,77096,AM1V310 @312248,12241,E303E8FFEBFF,995,-24,-21
21:32.7,77157,AM1V310 @312248,12247,E003F2FFF0FF,992,-14,-16
21:32.8,77217,AM1V310 @312248,12253,DF03E9FFF8FF,991,-23,-8
21:32.8,77246,AM1V310 @312248,12260,DE03F5FFF2FF,990,-11,-14
21:32.9,77307,AM1V310 @312248,12266,E103EAFFF0FF,993,-22,-16
21:32.9,77366,AM1V310 @312248,12272,E903E1FFF2FF,1001,-31,-14
21:33.0,77396,AM1V310 @312248,12278,D903ECFFF5FF,985,-20,-11
21:33.0,77456,AM1V310 @312248,12285,E203FBFFFBFF,994,-5,-5
21:33.1,77517,AM1V310 @312248,12291,E203F1FFF9FF,994,-15,-7
21:33.1,77546,AM1V310 @312248,12297,E303E9FF0200,995,-23,2
21:33.2,77607,AM1V310 @312248,12303,EB03D7FF0400,1003,-41,4
21:33.2,77667,AM1V310 @312248,12310,E403B2FF0200,996,-78,2
21:33.3,77696,AM1V310 @312248,12316,F00387FF0300,1008,-121,3
21:33.4,77788,AM1V310 @312248,12322,2F0498FFD4FF,1071,-104,-44
21:33.4,77822,AM1V310 @312248,12328,110795FEF0FE,1809,-363,-272
21:33.5,77876,AM1V310 @312248,12335,CD0772FE9AFD,1997,-398,-614
21:33.5,77906,AM1V310 @312248,12341,CD071AFC24FD,1997,-998,-732
21:33.5,77967,AM1V310 @312248,12347,C5079AFFA6FF,1989,-102,-90
21:33.6,77996,AM1V310 @312248,12353,9D052EFD8000,1437,-722,128
21:33.6,78056,AM1V310 @312248,12360,CD074AFB6600,1997,-1206,102
21:33.7,78116,AM1V310 @312248,12366,CD075EFADEFD,1997,-1442,-546
21:33.7,78147,AM1V310 @312248,12372,CD07BFFD4E00,1997,-577,78
21:33.8,78207,AM1V310 @312248,12378,CD07CD075505,1997,1997,1365
21:33.8,78266,AM1V310 @312248,12385,9902F006CE07,665,1776,1998
21:33.9,78296,AM1V310 @312248,12391,8CFECD073A07,-372,1997,1850
21:33.9,78356,AM1V310 @312248,12397,E4FE7E064707,-284,1662,1863
21:34.0,78416,AM1V310 @312248,12403,A602CB041603,678,1227,790
21:34.0,78447,AM1V310 @312248,12410,CD075002FB00,1997,592,251
21:34.1,78507,AM1V310 @312248,12416,CD07F6FFADFF,1997,-10,-83
21:34.1,78567,AM1V310 @312248,12422,CD0702FFA600,1997,-254,166
21:34.2,78596,AM1V310 @312248,12428,CD0753FA7E00,1997,-1453,126
21:34.2,78656,AM1V310 @312248,12435,CD079FF95AFF,1997,-1633,-166
21:34.3,78716,AM1V310 @312248,12441,BA07C7F80A00,1978,-1849,10
21:34.3,78746,AM1V310 @312248,12447,890561FCA1FF,1417,-927,-95
21:34.4,78807,AM1V310 @312248,12453,DA05A9FC99FF,1498,-855,-103
21:34.4,78867,AM1V310 @312248,12460,BF059003AE00,1471,912,174
21:34.5,78896,AM1V310 @312248,12466,DC0557FD0EFD,1500,-681,-754
21:34.5,78957,AM1V310 @312248,12472,7E0452FF6F00,1150,-174,111
21:34.6,79016,AM1V310 @312248,12478,CE035500B8FF,974,85,-72
21:34.6,79046,AM1V310 @312248,12485,49035600A5FF,841,86,-91
21:34.7,79107,AM1V310 @312248,12491,1C05A8FECE00,1308,-344,206
21:34.7,79166,AM1V310 @312248,12497,C10374FFBFFE,961,-140,-321
21:34.8,79196,AM1V310 @312248,12503,D40343FF6AFF,980,-189,-150
21:34.8,79256,AM1V310 @312248,12510,F1030400E2FF,1009,4,-30
21:34.9,79317,AM1V310 @312248,12516,D6038EFFACFF,982,-114,-84
21:34.9,79346,AM1V310 @312248,12522,D2038BFFA1FF,978,-117,-95
21:35.0,79406,AM1V310 @312248,12528,E8039DFFC0FF,1000,-99,-64
21:35.0,79466,AM1V310 @312248,12535,D00382FFA2FF,976,-126,-94
21:35.1,79496,AM1V310 @312248,12541,C70387FFA0FF,967,-121,-96
21:35.1,79557,AM1V310 @312248,12547,C60373FFA5FF,966,-141,-91
21:35.2,79646,AM1V310 @312248,12553,DC0374FFB6FF,988,-140,-74
21:35.3,79686,AM1V310 @312248,12560,D3037BFFA6FF,979,-133,-90
21:35.3,79717,AM1V310 @312248,12566,D70388FFAFFF,983,-120,-81
21:35.3,79766,AM1V310 @312248,12572,D40376FFAFFF,980,-138,-81
21:35.4,79796,AM1V310 @312248,12578,D8037CFFA0FF,984,-132,-96
21:35.5,79886,AM1V310 @312248,12585,CF0377FFA8FF,975,-137,-88
21:35.5,79916,AM1V310 @312248,12591,D20373FFA5FF,978,-141,-91
21:35.5,79946,AM1V310 @312248,12597,CF0371FFA2FF,975,-143,-94
21:35.6,80006,AM1V310 @312248,12603,D1037CFFA7FF,977,-132,-89
21:35.6,80067,AM1V310 @312248,12610,CF0376FFA7FF,975,-138,-89
21:35.7,80096,AM1V310 @312248,12616,D10378FFA6FF,977,-136,-90
21:35.7,80156,AM1V310 @312248,12622,CF0379FFA8FF,975,-135,-88
21:35.8,80217,AM1V310 @312248,12628,D5036EFFA6FF,981,-146,-90
21:35.8,80246,AM1V310 @312248,12635,D3037CFFAFFF,979,-132,-81
21:35.9,80306,AM1V310 @312248,12641,D20374FFAEFF,978,-140,-82
21:35.9,80367,AM1V310 @312248,12647,D10372FFABFF,977,-142,-85
21:36.0,80397,AM1V310 @312248,12653,D4037DFFB1FF,980,-131,-79
21:36.0,80457,AM1V310 @312248,12660,D1036FFFABFF,977,-145,-85
21:36.1,80516,AM1V310 @312248,12666,D0037DFFAEFF,976,-131,-82
21:36.1,80546,AM1V310 @312248,12672,CF036FFFB4FF,975,-145,-76
21:36.2,80606,AM1V310 @312248,12678,D00377FFACFF,976,-137,-84
21:36.2,80666,AM1V310 @312248,12685,D00377FFB4FF,976,-137,-76
21:36.3,80696,AM1V310 @312248,12691,D2037AFFB0FF,978,-134,-80
21:36.3,80756,AM1V310 @312248,12697,D50379FFB1FF,981,-135,-79
21:36.4,80817,AM1V310 @312248,12703,D20375FFAFFF,978,-139,-81
21:36.4,80846,AM1V310 @312248,12710,CF0375FFAFFF,975,-139,-81
