Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
21/03/2020 12:25:43.641,206575,AM1V310 @312248,28518,D90352008EFF,985,82,-114
21/03/2020 12:25:43.702,206630,AM1V310 @312248,28524,D4034E00A1FF,980,78,-95
21/03/2020 12:25:43.732,206660,AM1V310 @312248,28531,D6035D0098FF,982,93,-104
21/03/2020 12:25:43.941,206871,AM1V310 @312248,28543,CF03560094FF,975,86,-108
21/03/2020 12:25:43.941,206871,AM1V310 @312248,28537,DF036F00A9FF,991,111,-87
21/03/2020 12:25:43.981,206909,AM1V310 @312248,28556,D8035700B3FF,984,87,-77
21/03/2020 12:25:43.981,206909,AM1V310 @312248,28549,E903420097FF,1001,66,-105
21/03/2020 12:25:44.002,206930,AM1V310 @312248,28562,EC037000B9FF,1004,112,-71
21/03/2020 12:25:44.032,206960,AM1V310 @312248,28568,DF038600CEFF,991,134,-50
21/03/2020 12:25:44.092,207020,AM1V310 @312248,28574,CE035800C3FF,974,88,-61
21/03/2020 12:25:44.151,207080,AM1V310 @312248,28581,D6035E00F9FF,982,94,-7
21/03/2020 12:25:44.181,207109,AM1V310 @312248,28587,C3036600EFFF,963,102,-17
21/03/2020 12:25:44.241,207169,AM1V310 @312248,28593,13047300EEFF,1043,115,-18
21/03/2020 12:25:44.301,207229,AM1V310 @312248,28599,DD043C004600,1245,60,70
21/03/2020 12:25:44.391,207319,AM1V310 @312248,28606,CD0702FE6500,1997,-510,101
21/03/2020 12:25:44.422,207350,AM1V310 @312248,28612,CD07ADFCE200,1997,-851,226
21/03/2020 12:25:44.451,207379,AM1V310 @312248,28618,CD07CDFD0EFC,1997,-563,-1010
21/03/2020 12:25:44.481,207409,AM1V310 @312248,28624,3B066D035C00,1595,877,92
21/03/2020 12:25:44.541,207469,AM1V310 @312248,28631,6D068B0229FF,1645,651,-215
21/03/2020 12:25:44.601,207530,AM1V310 @312248,28637,CD07970072FE,1997,151,-398
21/03/2020 12:25:44.631,207559,AM1V310 @312248,28643,CD070202E4FE,1997,514,-284
21/03/2020 12:25:44.692,207620,AM1V310 @312248,28649,CD07CD071BFB,1997,1997,-1253
21/03/2020 12:25:44.721,207649,AM1V310 @312248,28656,0202CD0734F8,514,1997,-1996
21/03/2020 12:25:44.782,207710,AM1V310 @312248,28662,90F9CD07F8F8,-1648,1997,-1800
21/03/2020 12:25:44.842,207770,AM1V310 @312248,28668,6101CD0730FD,353,1997,-720
21/03/2020 12:25:44.871,207799,AM1V310 @312248,28674,CD07CD07D7FB,1997,1997,-1065
21/03/2020 12:25:44.932,207860,AM1V310 @312248,28681,CD07C3015D01,1997,451,349
21/03/2020 12:25:44.992,207920,AM1V310 @312248,28687,CD07FAFF0807,1997,-6,1800
21/03/2020 12:25:45.021,207949,AM1V310 @312248,28693,CD0742FDCE07,1997,-702,1998
21/03/2020 12:25:45.082,208010,AM1V310 @312248,28699,CD07ACFACE07,1997,-1364,1998
21/03/2020 12:25:45.142,208070,AM1V310 @312248,28706,CD07CAFC4606,1997,-822,1606
21/03/2020 12:25:45.171,208099,AM1V310 @312248,28712,5907BCFA8C05,1881,-1348,1420
21/03/2020 12:25:45.232,208160,AM1V310 @312248,28718,C40587005501,1476,135,341
21/03/2020 12:25:45.292,208220,AM1V310 @312248,28724,F103BDFFDEFF,1009,-67,-34
21/03/2020 12:25:45.322,208250,AM1V310 @312248,28731,6E038E008300,878,142,131
21/03/2020 12:25:45.382,208310,AM1V310 @312248,28737,290497FFEEFF,1065,-105,-18
21/03/2020 12:25:45.442,208370,AM1V310 @312248,28743,2804C7FFAFFF,1064,-57,-81
21/03/2020 12:25:45.471,208399,AM1V310 @312248,28749,2D041F001000,1069,31,16
21/03/2020 12:25:45.532,208460,AM1V310 @312248,28756,A3035900C6FF,931,89,-58
21/03/2020 12:25:45.592,208520,AM1V310 @312248,28762,EE031500CFFF,1006,21,-49
21/03/2020 12:25:45.652,208580,AM1V310 @312248,28768,F3032E00E2FF,1011,46,-30
21/03/2020 12:25:45.681,208609,AM1V310 @312248,28774,C803FEFFE4FF,968,-2,-28
21/03/2020 12:25:45.742,208670,AM1V310 @312248,28781,DF030300BAFF,991,3,-70
21/03/2020 12:25:45.771,208699,AM1V310 @312248,28787,F40366000D00,1012,102,13
21/03/2020 12:25:45.832,208760,AM1V310 @312248,28793,F5036500F0FF,1013,101,-16
21/03/2020 12:25:45.892,208820,AM1V310 @312248,28799,E9030F00E8FF,1001,15,-24
21/03/2020 12:25:45.921,208849,AM1V310 @312248,28806,DC032D000700,988,45,7
21/03/2020 12:25:45.982,208910,AM1V310 @312248,28812,D9030D001000,985,13,16
21/03/2020 12:25:46.042,208970,AM1V310 @312248,28818,DE0308001A00,990,8,26
21/03/2020 12:25:46.071,208999,AM1V310 @312248,28824,DA03EFFF1900,986,-17,25
21/03/2020 12:25:46.132,209060,AM1V310 @312248,28831,DB03E2FF1F00,987,-30,31
21/03/2020 12:25:46.192,209120,AM1V310 @312248,28837,DB03CEFF2800,987,-50,40
21/03/2020 12:25:46.221,209149,AM1V310 @312248,28843,D903B9FF2D00,985,-71,45
21/03/2020 12:25:46.282,209210,AM1V310 @312248,28849,DE03B8FF3000,990,-72,48
21/03/2020 12:25:46.341,209270,AM1V310 @312248,28856,DB03A2FF3200,987,-94,50
21/03/2020 12:25:46.371,209299,AM1V310 @312248,28862,D70375FF3200,983,-139,50
21/03/2020 12:25:46.442,209370,AM1V310 @312248,28868,D7036FFF3B00,983,-145,59
21/03/2020 12:25:46.491,209419,AM1V310 @312248,28874,C70336FF3600,967,-202,54
21/03/2020 12:25:46.521,209449,AM1V310 @312248,28881,CF0346FF4B00,975,-186,75
21/03/2020 12:25:46.611,209539,AM1V310 @312248,28887,D3034BFF4200,979,-181,66
21/03/2020 12:25:46.641,209569,AM1V310 @312248,28893,D2035DFF4700,978,-163,71
21/03/2020 12:25:46.671,209599,AM1V310 @312248,28899,D10360FF4800,977,-160,72
21/03/2020 12:25:46.731,209660,AM1V310 @312248,28906,D30360FF4C00,979,-160,76
21/03/2020 12:25:46.791,209720,AM1V310 @312248,28912,CD0355FF4E00,973,-171,78
21/03/2020 12:25:46.821,209749,AM1V310 @312248,28918,D3035EFF4A00,979,-162,74
21/03/2020 12:25:46.881,209810,AM1V310 @312248,28924,D00353FF4E00,976,-173,78
21/03/2020 12:25:46.941,209869,AM1V310 @312248,28931,D0035BFF4C00,976,-165,76
21/03/2020 12:25:46.971,209899,AM1V310 @312248,28937,D3035EFF4E00,979,-162,78
21/03/2020 12:25:47.031,209960,AM1V310 @312248,28943,D40368FF4700,980,-152,71
21/03/2020 12:25:47.091,210019,AM1V310 @312248,28949,D40360FF4900,980,-160,73
21/03/2020 12:25:47.121,210049,AM1V310 @312248,28956,D3035EFF4800,979,-162,72
21/03/2020 12:25:47.181,210110,AM1V310 @312248,28962,D40363FF4500,980,-157,69
21/03/2020 12:25:47.242,210170,AM1V310 @312248,28968,D4035FFF4200,980,-161,66
21/03/2020 12:25:47.271,210199,AM1V310 @312248,28974,D40364FF4100,980,-156,65
21/03/2020 12:25:47.331,210259,AM1V310 @312248,28981,D3035FFF4700,979,-161,71
21/03/2020 12:25:47.391,210319,AM1V310 @312248,28987,D3035DFF4100,979,-163,65
21/03/2020 12:25:47.421,210349,AM1V310 @312248,28993,D20361FF4500,978,-159,69
21/03/2020 12:25:47.481,210410,AM1V310 @312248,28999,D4035DFF4500,980,-163,69
21/03/2020 12:25:47.542,210470,AM1V310 @312248,29006,D30364FF4600,979,-156,70
21/03/2020 12:25:47.571,210499,AM1V310 @312248,29012,D4035CFF4400,980,-164,68
21/03/2020 12:25:47.632,210560,AM1V310 @312248,29018,D3035CFF4400,979,-164,68
21/03/2020 12:25:47.721,210650,AM1V310 @312248,29024,D1035CFF4200,977,-164,66
21/03/2020 12:25:47.722,210650,AM1V310 @312248,29031,D40366FF4500,980,-154,69
