Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
21/03/2020 12:25:14.001,176937,AM1V310 @312248,24812,D9035A00CFFF,985,90,-49
21/03/2020 12:25:14.122,177050,AM1V310 @312248,24818,D5035900DAFF,981,89,-38
21/03/2020 12:25:14.160,177088,AM1V310 @312248,24831,DD036800D6FF,989,104,-42
21/03/2020 12:25:14.160,177088,AM1V310 @312248,24824,DA035A00C6FF,986,90,-58
21/03/2020 12:25:14.241,177170,AM1V310 @312248,24837,DD036300CFFF,989,99,-49
21/03/2020 12:25:14.270,177198,AM1V310 @312248,24843,DA035900D1FF,986,89,-47
21/03/2020 12:25:14.301,177229,AM1V310 @312248,24849,DC036A00D5FF,988,106,-43
21/03/2020 12:25:14.421,177350,AM1V310 @312248,24856,D6037600E2FF,982,118,-30
21/03/2020 12:25:14.462,177390,AM1V310 @312248,24862,DB035F00DDFF,987,95,-35
21/03/2020 12:25:14.462,177390,AM1V310 @312248,24868,D5036000E8FF,981,96,-24
21/03/2020 12:25:14.541,177470,AM1V310 @312248,24874,D4036800F2FF,980,104,-14
21/03/2020 12:25:14.569,177496,AM1V310 @312248,24881,DA036700E5FF,986,103,-27
21/03/2020 12:25:14.602,177530,AM1V310 @312248,24887,D7036E00FCFF,983,110,-4
21/03/2020 12:25:14.662,177590,AM1V310 @312248,24893,D9037B00EDFF,985,123,-19
21/03/2020 12:25:14.692,177620,AM1V310 @312248,24899,CE0385001F00,974,133,31
21/03/2020 12:25:14.752,177681,AM1V310 @312248,24906,02044200CAFF,1026,66,-54
21/03/2020 12:25:14.841,177769,AM1V310 @312248,24912,FC033D00FEFF,1020,61,-2
21/03/2020 12:25:14.876,177804,AM1V310 @312248,24918,E3037600FEFF,995,118,-2
21/03/2020 12:25:14.931,177859,AM1V310 @312248,24924,D703A6002500,983,166,37
21/03/2020 12:25:14.961,177889,AM1V310 @312248,24931,BD03A9002300,957,169,35
21/03/2020 12:25:14.991,177919,AM1V310 @312248,24937,9E03F2FF7A00,926,-14,122
21/03/2020 12:25:15.052,177980,AM1V310 @312248,24943,A70438FE5A00,1191,-456,90
21/03/2020 12:25:15.141,178070,AM1V310 @312248,24949,8B076DFFAD02,1931,-147,685
21/03/2020 12:25:15.175,178103,AM1V310 @312248,24956,CD074CFBED04,1997,-1204,1261
21/03/2020 12:25:15.202,178129,AM1V310 @312248,24962,CD07AC0250F9,1997,684,-1712
21/03/2020 12:25:15.261,178189,AM1V310 @312248,24968,CD07F3F81000,1997,-1805,16
21/03/2020 12:25:15.292,178219,AM1V310 @312248,24974,CD07A1FAC504,1997,-1375,1221
21/03/2020 12:25:15.352,178280,AM1V310 @312248,24981,CD079DFABB00,1997,-1379,187
21/03/2020 12:25:15.412,178340,AM1V310 @312248,24987,CD0732F82B01,1997,-1998,299
21/03/2020 12:25:15.441,178369,AM1V310 @312248,24993,CD074102A4FF,1997,577,-92
21/03/2020 12:25:15.501,178429,AM1V310 @312248,24999,CD07CD07E6FC,1997,1997,-794
21/03/2020 12:25:15.562,178490,AM1V310 @312248,25006,CD07CD0703FC,1997,1997,-1021
21/03/2020 12:25:15.592,178520,AM1V310 @312248,25012,CD07CD07B6FA,1997,1997,-1354
21/03/2020 12:25:15.652,178580,AM1V310 @312248,25018,CD07CB07E200,1997,1995,226
21/03/2020 12:25:15.712,178640,AM1V310 @312248,25024,98065505BC01,1688,1365,444
21/03/2020 12:25:15.741,178669,AM1V310 @312248,25031,CD070605B805,1997,1286,1464
21/03/2020 12:25:15.801,178729,AM1V310 @312248,25037,CD07D1030D05,1997,977,1293
21/03/2020 12:25:15.862,178790,AM1V310 @312248,25043,CD072103F405,1997,801,1524
21/03/2020 12:25:15.892,178820,AM1V310 @312248,25049,CD079E033507,1997,926,1845
21/03/2020 12:25:15.951,178880,AM1V310 @312248,25056,CD075801E105,1997,344,1505
21/03/2020 12:25:15.981,178909,AM1V310 @312248,25062,C704EF014F04,1223,495,1103
21/03/2020 12:25:16.041,178970,AM1V310 @312248,25068,F8031AFFEF03,1016,-230,1007
21/03/2020 12:25:16.102,179030,AM1V310 @312248,25074,6003A7002AFF,864,167,-214
