Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
21/03/2020 12:25:14.001,176939,AM1V310 @312248,24812,C5005900F8FF,19.7,8.9,-0.8
21/03/2020 12:25:14.122,177050,AM1V310 @312248,24818,82004200F2FF,13,6.6,-1.4
21/03/2020 12:25:14.160,177088,AM1V310 @312248,24824,6F003500E9FF,11.1,5.3,-2.3
21/03/2020 12:25:14.160,177088,AM1V310 @312248,24831,2B004100E2FF,4.3,6.5,-3
21/03/2020 12:25:14.241,177169,AM1V310 @312248,24837,0D004500E4FF,1.3,6.9,-2.8
21/03/2020 12:25:14.270,177198,AM1V310 @312248,24843,0A004900E0FF,1,7.3,-3.2
21/03/2020 12:25:14.301,177230,AM1V310 @312248,24849,F7FF5000DFFF,-0.9,8,-3.3
21/03/2020 12:25:14.421,177350,AM1V310 @312248,24856,E6FF5700F8FF,-2.6,8.7,-0.8
21/03/2020 12:25:14.462,177390,AM1V310 @312248,24862,DEFF5B00FBFF,-3.4,9.1,-0.5
21/03/2020 12:25:14.462,177390,AM1V310 @312248,24868,DEFF5600E9FF,-3.4,8.6,-2.3
21/03/2020 12:25:14.541,177470,AM1V310 @312248,24874,F1FF4A00E6FF,-1.5,7.4,-2.6
21/03/2020 12:25:14.569,177496,AM1V310 @312248,24881,EAFF4B00EEFF,-2.2,7.5,-1.8
21/03/2020 12:25:14.602,177530,AM1V310 @312248,24887,D6FF4B00E9FF,-4.2,7.5,-2.3
21/03/2020 12:25:14.662,177590,AM1V310 @312248,24893,FCFF5100F7FF,-0.4,8.1,-0.9
21/03/2020 12:25:14.692,177620,AM1V310 @312248,24899,2.20062E+11,3.4,9.8,3.6
21/03/2020 12:25:14.752,177681,AM1V310 @312248,24906,E4FF9300F5FF,-2.8,14.7,-1.1
21/03/2020 12:25:14.841,177770,AM1V310 @312248,24912,69FFBA00BFFF,-15.1,18.6,-6.5
21/03/2020 12:25:14.876,177804,AM1V310 @312248,24918,5FFFDF00B0FF,-16.1,22.3,-8
21/03/2020 12:25:14.931,177859,AM1V310 @312248,24924,93FF12010800,-10.9,27.4,0.8
21/03/2020 12:25:14.961,177889,AM1V310 @312248,24931,C3FE1C012800,-31.7,28.4,4
21/03/2020 12:25:14.991,177919,AM1V310 @312248,24937,36FF2401EDFF,-20.2,29.2,-1.9
