Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
22:03.3,107707,AM1V310 @312248,16066,E303FEFFDDFF,995,-2,-35
22:03.3,107757,AM1V310 @312248,16072,DD03F0FFEAFF,989,-16,-22
22:03.4,107786,AM1V310 @312248,16078,E103F6FFE2FF,993,-10,-30
22:03.4,107847,AM1V310 @312248,16085,DF03FBFFE3FF,991,-5,-29
22:03.5,107937,AM1V310 @312248,16097,E303FCFFE0FF,995,-4,-32
22:03.5,107937,AM1V310 @312248,16091,E003FBFFE1FF,992,-5,-31
22:03.6,107997,AM1V310 @312248,16103,E103FAFFF3FF,993,-6,-13
22:03.6,108057,AM1V310 @312248,16110,E1031500EBFF,993,21,-21
22:03.7,108086,AM1V310 @312248,16116,DF03F8FFE4FF,991,-8,-28
22:03.7,108147,AM1V310 @312248,16122,DF03F6FFE5FF,991,-10,-27
22:03.8,108207,AM1V310 @312248,16128,DF03EFFFE0FF,991,-17,-32
22:03.8,108236,AM1V310 @312248,16135,DE03F7FFE8FF,990,-9,-24
22:03.9,108296,AM1V310 @312248,16141,DE03F9FFEDFF,990,-7,-19
22:03.9,108357,AM1V310 @312248,16147,DD03F6FFF6FF,989,-10,-10
22:04.0,108417,AM1V310 @312248,16153,E403EAFFE7FF,996,-22,-25
22:04.0,108446,AM1V310 @312248,16160,E50300000000,997,0,0
22:04.1,108507,AM1V310 @312248,16166,DA03D6FF0100,986,-42,1
22:04.1,108536,AM1V310 @312248,16172,E303EFFF0F00,995,-17,15
22:04.2,108597,AM1V310 @312248,16178,EC03F0FF1000,1004,-16,16
22:04.2,108657,AM1V310 @312248,16185,0804D6FF2200,1032,-42,34
22:04.3,108686,AM1V310 @312248,16191,1904CFFF3800,1049,-49,56
22:04.4,108777,AM1V310 @312248,16197,9C04B1FF7500,1180,-79,117
22:04.4,108806,AM1V310 @312248,16203,C80605FFD2FE,1736,-251,-302
22:04.4,108836,AM1V310 @312248,16210,CD07C7FAD6FC,1997,-1337,-810
22:04.5,108896,AM1V310 @312248,16216,CD07740367FD,1997,884,-665
22:04.6,108987,AM1V310 @312248,16222,CD07040284FD,1997,516,-636
22:04.6,109023,AM1V310 @312248,16228,21041FFD4000,1057,-737,64
22:04.6,109046,AM1V310 @312248,16235,CC0744FBDCFF,1996,-1212,-36
22:04.7,109106,AM1V310 @312248,16241,CD0736FB4CFF,1997,-1226,-180
22:04.7,109136,AM1V310 @312248,16247,CD07A8FB1EFE,1997,-1112,-482
22:04.8,109197,AM1V310 @312248,16253,CD07CD076200,1997,1997,98
22:04.8,109257,AM1V310 @312248,16260,7B06C507CE07,1659,1989,1998
22:04.9,109286,AM1V310 @312248,16266,9800CD075B07,152,1997,1883
22:04.9,109347,AM1V310 @312248,16272,7AFF9207CE07,-134,1938,1998
22:05.0,109406,AM1V310 @312248,16278,9502CD072405,661,1997,1316
22:05.0,109436,AM1V310 @312248,16285,CD079707A401,1997,1943,420
22:05.1,109496,AM1V310 @312248,16291,CD079C014F00,1997,412,79
22:05.1,109556,AM1V310 @312248,16297,CD073800E2FF,1997,56,-30
22:05.2,109586,AM1V310 @312248,16303,CD0774F827FF,1997,-1932,-217
22:05.3,109677,AM1V310 @312248,16310,CD07AFFA84FE,1997,-1361,-380
22:05.3,109706,AM1V310 @312248,16316,CD07A3FA47FF,1997,-1373,-185
22:05.3,109736,AM1V310 @312248,16322,9606C6FCFDFE,1686,-826,-259
22:05.4,109796,AM1V310 @312248,16328,98077A047D01,1944,1146,381
22:05.4,109857,AM1V310 @312248,16335,370538FCA4FD,1335,-968,-604
22:05.5,109886,AM1V310 @312248,16341,2A0584FE0E00,1322,-380,14
22:05.5,109946,AM1V310 @312248,16347,7804BCFFFEFF,1144,-68,-2
22:05.6,110007,AM1V310 @312248,16353,C10326008AFF,961,38,-118
22:05.6,110036,AM1V310 @312248,16360,D303C6FF2300,979,-58,35
22:05.7,110097,AM1V310 @312248,16366,D403E9FFF0FF,980,-23,-16
22:05.7,110156,AM1V310 @312248,16372,2E0499FFCBFF,1070,-103,-53
22:05.8,110187,AM1V310 @312248,16378,D603EDFFE5FF,982,-19,-27
