Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
22:03.3,107710,AM1V310 @312248,16066,FCFF0000F7FF,-0.4,0,-0.9
22:03.3,107757,AM1V310 @312248,16072,E5FF1000FEFF,-2.7,1.6,-0.2
22:03.4,107786,AM1V310 @312248,16078,F8FF1700F0FF,-0.8,2.3,-1.6
22:03.4,107847,AM1V310 @312248,16085,F5FF1E00F6FF,-1.1,3,-1
22:03.5,107937,AM1V310 @312248,16097,E8FF3200F6FF,-2.4,5,-1
22:03.5,107938,AM1V310 @312248,16091,F6FF2500FAFF,-1,3.7,-0.6
22:03.6,107997,AM1V310 @312248,16103,F9FF4300DBFF,-0.7,6.7,-3.7
22:03.6,108057,AM1V310 @312248,16110,F7FF2900F8FF,-0.9,4.1,-0.8
22:03.7,108086,AM1V310 @312248,16116,E3FF23000700,-2.9,3.5,0.7
22:03.7,108147,AM1V310 @312248,16122,DDFF2F000600,-3.5,4.7,0.6
22:03.8,108207,AM1V310 @312248,16128,E0FF3B00F8FF,-3.2,5.9,-0.8
22:03.8,108236,AM1V310 @312248,16135,EDFF4100FDFF,-1.9,6.5,-0.3
22:03.9,108296,AM1V310 @312248,16141,D9FF4900FFFF,-3.9,7.3,-0.1
22:03.9,108356,AM1V310 @312248,16147,BEFF50000A00,-6.6,8,1
22:04.0,108417,AM1V310 @312248,16153,8BFF72000300,-11.7,11.4,0.3
22:04.0,108446,AM1V310 @312248,16160,9FFF83000900,-9.7,13.1,0.9
22:04.1,108507,AM1V310 @312248,16166,81FFAE00F8FF,-12.7,17.4,-0.8
22:04.1,108536,AM1V310 @312248,16172,E0FFAB00D7FF,-3.2,17.1,-4.1
22:04.2,108597,AM1V310 @312248,16178,E0FFD200BFFF,-3.2,21,-6.5
22:04.2,108657,AM1V310 @312248,16185,F2FF24016DFF,-1.4,29.2,-14.7
22:04.3,108686,AM1V310 @312248,16191,29008E0104FF,4.1,39.8,-25.2
22:04.4,108777,AM1V310 @312248,16197,6B00420271FE,10.7,57.8,-39.9
22:04.4,108806,AM1V310 @312248,16203,21FE9B037EFD,-47.9,92.3,-64.2
22:04.4,108836,AM1V310 @312248,16210,510104070EFC,33.7,179.6,-101
22:04.5,108896,AM1V310 @312248,16216,9D08E207DBF9,220.5,201.8,-157.3
22:04.6,108987,AM1V310 @312248,16222,5F073403C4FC,188.7,82,-82.8
22:04.6,109023,AM1V310 @312248,16228,1200AAFC7005,1.8,-85.4,139.2
22:04.6,109046,AM1V310 @312248,16235,990175F4D30F,40.9,-295.5,405.1
22:04.7,109106,AM1V310 @312248,16241,350462F2BE18,107.7,-348.6,633.4
22:04.7,109136,AM1V310 @312248,16247,A6FE7EF28C1D,-34.6,-345.8,756.4
22:04.8,109197,AM1V310 @312248,16253,530379F1DB1B,85.1,-371.9,713.1
22:04.8,109257,AM1V310 @312248,16260,2BF0F9F8560B,-405.3,-179.9,290.2
22:04.9,109286,AM1V310 @312248,16266,11024BFC7A04,52.9,-94.9,114.6
22:04.9,109347,AM1V310 @312248,16272,D4FB6B01BCFE,-106.8,36.3,-32.4
22:05.0,109406,AM1V310 @312248,16278,5506190559F9,162.1,130.5,-170.3
22:05.0,109436,AM1V310 @312248,16285,51035C0809F0,84.9,214,-408.7
22:05.1,109496,AM1V310 @312248,16291,FD01930B8AEA,50.9,296.3,-549.4
22:05.1,109556,AM1V310 @312248,16297,EA00C60C9DE9,23.4,327,-573.1
22:05.2,109586,AM1V310 @312248,16303,EF01950C60ED,49.5,322.1,-476.8
22:05.3,109677,AM1V310 @312248,16310,B9048D06ECF3,120.9,167.7,-309.2
22:05.3,109706,AM1V310 @312248,16316,9D0310033DFB,92.5,78.4,-121.9
22:05.3,109736,AM1V310 @312248,16322,D701C7FD9B02,47.1,-56.9,66.7
22:05.4,109796,AM1V310 @312248,16328,1DFE0EFD0E04,-48.3,-75.4,103.8
22:05.4,109857,AM1V310 @312248,16335,14FE80FD9A02,-49.2,-64,66.6
22:05.5,109886,AM1V310 @312248,16341,3800B9FEA900,5.6,-32.7,16.9
22:05.5,109946,AM1V310 @312248,16347,F2FF63FF0000,-1.4,-15.7,0
22:05.6,110007,AM1V310 @312248,16353,89009CFF4600,13.7,-10,7
22:05.6,110036,AM1V310 @312248,16360,AFFFC2FF3100,-8.1,-6.2,4.9
22:05.7,110097,AM1V310 @312248,16366,0200E0FF3C00,0.2,-3.2,6
22:05.7,110156,AM1V310 @312248,16372,8E0003001900,14.2,0.3,2.5
22:05.8,110187,AM1V310 @312248,16378,C0003300C4FF,19.2,5.1,-6
22:05.8,110247,AM1V310 @312248,16385,1.20036E+11,1.8,5.4,3.2
22:05.9,110307,AM1V310 @312248,16391,3C00F3FF7100,6,-1.3,11.3
22:05.9,110336,AM1V310 @312248,16397,2.90009E+11,4.1,0.9,11.4
22:06.0,110396,AM1V310 @312248,16403,010019003A00,0.1,2.5,5.8
22:06.0,110456,AM1V310 @312248,16410,E3FF1F001E00,-2.9,3.1,3
22:06.1,110487,AM1V310 @312248,16416,D0FF12002700,-4.8,1.8,3.9
22:06.1,110547,AM1V310 @312248,16422,94FF17002A00,-10.8,2.3,4.2
22:06.2,110607,AM1V310 @312248,16428,87FF1A001B00,-12.1,2.6,2.7
22:06.2,110636,AM1V310 @312248,16435,A5FF25000700,-9.1,3.7,0.7
22:06.3,110696,AM1V310 @312248,16441,8CFF2300FCFF,-11.6,3.5,-0.4
22:06.3,110756,AM1V310 @312248,16447,A3FF2500FDFF,-9.3,3.7,-0.3
22:06.4,110787,AM1V310 @312248,16453,ACFF2600FBFF,-8.4,3.8,-0.5
22:06.4,110847,AM1V310 @312248,16460,DAFF2500F5FF,-3.8,3.7,-1.1
22:06.5,110907,AM1V310 @312248,16466,DCFF2600F5FF,-3.6,3.8,-1.1
22:06.5,110936,AM1V310 @312248,16472,F6FF2000F3FF,-1,3.2,-1.3
22:06.6,110997,AM1V310 @312248,16478,0E001C00F5FF,1.4,2.8,-1.1
22:06.6,111057,AM1V310 @312248,16485,02001700F5FF,0.2,2.3,-1.1
22:06.7,111087,AM1V310 @312248,16491,23000D00F7FF,3.5,1.3,-0.9
22:06.7,111166,AM1V310 @312248,16497,1E000C000000,3,1.2,0
22:06.8,111207,AM1V310 @312248,16503,4D00FFFF0700,7.7,-0.1,0.7
22:06.8,111236,AM1V310 @312248,16510,0300FEFF0F00,0.3,-0.2,1.5
22:06.9,111296,AM1V310 @312248,16516,90000000400,0.9,0,0.4
22:06.9,111356,AM1V310 @312248,16522,0B0008000100,1.1,0.8,0.1
22:07.0,111386,AM1V310 @312248,16528,0B0009000100,1.1,0.9,0.1
22:07.0,111447,AM1V310 @312248,16535,50008000200,0.5,0.8,0.2
22:07.1,111507,AM1V310 @312248,16541,FEFF09000000,-0.2,0.9,0
22:07.1,111536,AM1V310 @312248,16547,11000900F9FF,1.7,0.9,-0.7
22:07.2,111597,AM1V310 @312248,16553,34000400FDFF,5.2,0.4,-0.3
22:07.2,111657,AM1V310 @312248,16560,6F00FDFF1500,11.1,-0.3,2.1
22:07.3,111686,AM1V310 @312248,16566,8E+11,12.8,0,1.7
22:07.3,111747,AM1V310 @312248,16572,6.30004E+11,9.9,0.4,1.6
22:07.4,111836,AM1V310 @312248,16578,45000E000400,6.9,1.4,0.4
22:07.4,111869,AM1V310 @312248,16585,2.5001E+11,3.7,1.6,0
22:07.5,111896,AM1V310 @312248,16591,16000B00FDFF,2.2,1.1,-0.3
22:07.5,111956,AM1V310 @312248,16597,0F001000F7FF,1.5,1.6,-0.9
22:07.6,111987,AM1V310 @312248,16603,07000E00F7FF,0.7,1.4,-0.9
22:07.6,112047,AM1V310 @312248,16610,FBFF1000F9FF,-0.5,1.6,-0.7
22:07.7,112106,AM1V310 @312248,16616,00001200F9FF,0,1.8,-0.7
22:07.7,112136,AM1V310 @312248,16622,F6FF1900FCFF,-1,2.5,-0.4
22:07.8,112196,AM1V310 @312248,16628,02001700FBFF,0.2,2.3,-0.5
22:07.8,112256,AM1V310 @312248,16635,F6FF17000000,-1,2.3,0
