Logged started on,03/05/2020 18:15:23
Feature,Gyroscope
Nodes,AM1V310 @312248

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
03/05/2020 18:16:38.603,75052,AM1V310 @312248,11560,E5FF6500E0FF,-2.7,10.1,-3.2
03/05/2020 18:16:38.663,75098,AM1V310 @312248,11567,DDFF7000E7FF,-3.5,11.2,-2.5
03/05/2020 18:16:38.693,75128,AM1V310 @312248,11573,ADFF8300E4FF,-8.3,13.1,-2.8
03/05/2020 18:16:38.753,75189,AM1V310 @312248,11579,B6FFAA00DBFF,-7.4,17,-3.7
03/05/2020 18:16:38.813,75249,AM1V310 @312248,11585,D0FFAB00C8FF,-4.8,17.1,-5.6
03/05/2020 18:16:38.842,75278,AM1V310 @312248,11592,A7FFB400BDFF,-8.9,18,-6.7
03/05/2020 18:16:38.903,75338,AM1V310 @312248,11598,AFFFDB00E3FF,-8.1,21.9,-2.9
03/05/2020 18:16:38.992,75428,AM1V310 @312248,11604,E9FFDD0099FF,-2.3,22.1,-10.3
03/05/2020 18:16:39.025,75460,AM1V310 @312248,11610,9D00030183FF,15.7,25.9,-12.5
03/05/2020 18:16:39.053,75488,AM1V310 @312248,11617,C5FFF200D8FE,-5.9,24.2,-29.6
03/05/2020 18:16:39.113,75549,AM1V310 @312248,11623,AF00AF0060FD,17.5,17.5,-67.2
03/05/2020 18:16:39.142,75578,AM1V310 @312248,11629,37018CFFFAFA,31.1,-11.6,-128.6
03/05/2020 18:16:39.202,75638,AM1V310 @312248,11635,FDFE1802DFF6,-25.9,53.6,-233.7
03/05/2020 18:16:39.292,75728,AM1V310 @312248,11642,E003630548F1,99.2,137.9,-376.8
03/05/2020 18:16:39.317,75752,AM1V310 @312248,11648,1C0DCC0320ED,335.6,97.2,-483.2
03/05/2020 18:16:39.353,75788,AM1V310 @312248,11654,1604790903F5,104.6,242.5,-281.3
03/05/2020 18:16:39.413,75848,AM1V310 @312248,11660,EBFCC30D26FD,-78.9,352.3,-73
03/05/2020 18:16:39.442,75878,AM1V310 @312248,11667,97ED1113120C,-471.3,488.1,309
03/05/2020 18:16:39.502,75938,AM1V310 @312248,11673,6CEE860FD01D,-450,397.4,763.2
03/05/2020 18:16:39.563,75998,AM1V310 @312248,11679,1F02F1130B1F,54.3,510.5,794.7
03/05/2020 18:16:39.593,76028,AM1V310 @312248,11685,5A1332186616,495.4,619.4,573.4
03/05/2020 18:16:39.653,76088,AM1V310 @312248,11692,8BEF2BFE5E08,-421.3,-46.9,214.2
03/05/2020 18:16:39.713,76148,AM1V310 @312248,11698,18FCA6F810F9,-100,-188.2,-177.6
03/05/2020 18:16:39.742,76178,AM1V310 @312248,11704,2DF937F468F8,-174.7,-301.7,-194.4
03/05/2020 18:16:39.802,76238,AM1V310 @312248,11710,78FDDBF1DEF7,-64.8,-362.1,-208.2
03/05/2020 18:16:39.862,76298,AM1V310 @312248,11717,5709C4F3D5F8,239.1,-313.2,-183.5
03/05/2020 18:16:39.893,76328,AM1V310 @312248,11723,BF0AA6FA7000,275.1,-137,11.2
03/05/2020 18:16:39.953,76388,AM1V310 @312248,11729,F803EEFC2B03,101.6,-78.6,81.1
03/05/2020 18:16:40.012,76448,AM1V310 @312248,11735,DB072BFE8903,201.1,-46.9,90.5
03/05/2020 18:16:40.042,76478,AM1V310 @312248,11742,7F09DAFCC705,243.1,-80.6,147.9
03/05/2020 18:16:40.102,76538,AM1V310 @312248,11748,DFFAA0FE5100,-131.3,-35.2,8.1
03/05/2020 18:16:40.192,76628,AM1V310 @312248,11754,510051FEAB02,8.1,-43.1,68.3
03/05/2020 18:16:40.224,76659,AM1V310 @312248,11760,A1FECBFE2605,-35.1,-30.9,131.8
03/05/2020 18:16:40.253,76688,AM1V310 @312248,11767,AA01CBFD3803,42.6,-56.5,82.4
