Logged started on,11/04/2020 12:26:40
Feature,Gyroscope
Nodes,AM1V310 @312248

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
11/04/2020 12:28:42.078,121485,AM1V310 @312248,18159,9AFFD500A800,-10.2,21.3,16.8
11/04/2020 12:28:42.098,121491,AM1V310 @312248,18165,A5FFC7004500,-9.1,19.9,6.9
11/04/2020 12:28:42.139,121532,AM1V310 @312248,18172,83FFAF00C4FF,-12.5,17.5,-6
11/04/2020 12:28:42.199,121592,AM1V310 @312248,18178,7EFFF500CCFF,-13,24.5,-5.2
11/04/2020 12:28:42.229,121622,AM1V310 @312248,18184,D3FEF5006DFF,-30.1,24.5,-14.7
11/04/2020 12:28:42.289,121683,AM1V310 @312248,18190,17009400AAFE,2.3,14.8,-34.2
11/04/2020 12:28:42.349,121743,AM1V310 @312248,18197,15009400E7FD,2.1,14.8,-53.7
11/04/2020 12:28:42.379,121772,AM1V310 @312248,18203,9500E4007AFB,14.9,22.8,-115.8
11/04/2020 12:28:42.439,121832,AM1V310 @312248,18209,A4FE4E02AAF6,-34.8,59,-239
11/04/2020 12:28:42.499,121892,AM1V310 @312248,18215,A6089703B1F0,221.4,91.9,-391.9
11/04/2020 12:28:42.530,121922,AM1V310 @312248,18222,6B11B20522EF,445.9,145.8,-431.8
11/04/2020 12:28:42.619,122012,AM1V310 @312248,18228,3F002807B9F3,6.3,183.2,-314.3
11/04/2020 12:28:42.649,122042,AM1V310 @312248,18234,52FC790E51FA,-94.2,370.5,-145.5
11/04/2020 12:28:42.679,122072,AM1V310 @312248,18240,26E82815DC0B,-610.6,541.6,303.6
11/04/2020 12:28:42.739,122132,AM1V310 @312248,18247,BDEDDE11D41C,-467.5,457.4,738
11/04/2020 12:28:42.799,122192,AM1V310 @312248,18253,D405CC148320,149.2,532.4,832.3
11/04/2020 12:28:42.829,122222,AM1V310 @312248,18259,D90B7517BC14,303.3,600.5,530.8
11/04/2020 12:28:42.889,122282,AM1V310 @312248,18265,A6F2B5FE0F05,-341.8,-33.1,129.5
11/04/2020 12:28:42.950,122343,AM1V310 @312248,18272,D0021FF52DF9,72,-278.5,-174.7
11/04/2020 12:28:42.979,122372,AM1V310 @312248,18278,A0FAAFF2CCF9,-137.6,-340.9,-158.8
