Logged started on,05/04/2020 16:10:09
Feature,Accelerometer
Nodes,AM1V310 @312248

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
05/04/2020 16:11:23.287,74226,AM1V310 @312248,10456,F7053D0089FF,1527,61,-119
05/04/2020 16:11:23.348,74280,AM1V310 @312248,10462,CD07F3FE59FD,1997,-269,-679
05/04/2020 16:11:23.377,74310,AM1V310 @312248,10468,CD075E012A01,1997,350,298
05/04/2020 16:11:23.438,74371,AM1V310 @312248,10475,CD07CD074AFB,1997,1997,-1206
05/04/2020 16:11:23.467,74400,AM1V310 @312248,10481,3A02E2FCFF00,570,-798,255
05/04/2020 16:11:23.528,74461,AM1V310 @312248,10487,CD0724002DFA,1997,36,-1491
05/04/2020 16:11:23.588,74521,AM1V310 @312248,10493,CD0738F861FA,1997,-1992,-1439
05/04/2020 16:11:23.617,74550,AM1V310 @312248,10500,CD072505F4FD,1997,1317,-524
05/04/2020 16:11:23.678,74611,AM1V310 @312248,10506,CD07CD07CE07,1997,1997,1998
05/04/2020 16:11:23.738,74671,AM1V310 @312248,10512,51FECD07CE07,-431,1997,1998
05/04/2020 16:11:23.768,74700,AM1V310 @312248,10518,7203CD07CE07,882,1997,1998
05/04/2020 16:11:23.827,74760,AM1V310 @312248,10525,CD07CD07E002,1997,1997,736
05/04/2020 16:11:23.888,74821,AM1V310 @312248,10531,CD07CD0711FF,1997,1997,-239
05/04/2020 16:11:23.917,74850,AM1V310 @312248,10537,CD076200DAFC,1997,98,-806
05/04/2020 16:11:23.978,74911,AM1V310 @312248,10543,CD0782FEFCFD,1997,-382,-516
05/04/2020 16:11:24.037,74970,AM1V310 @312248,10550,CD0721FBEDFC,1997,-1247,-787
05/04/2020 16:11:24.067,75000,AM1V310 @312248,10556,CD07E1FCE8FE,1997,-799,-280
05/04/2020 16:11:24.127,75060,AM1V310 @312248,10562,4C07FD0404FF,1868,1277,-252
05/04/2020 16:11:24.217,75150,AM1V310 @312248,10568,8506A7FDC3FE,1669,-601,-317
05/04/2020 16:11:24.237,75169,AM1V310 @312248,10575,3E054DFDA100,1342,-691,161
05/04/2020 16:11:24.277,75210,AM1V310 @312248,10581,09048D003CFF,1033,141,-196
05/04/2020 16:11:24.337,75270,AM1V310 @312248,10587,AC0445FF5CFE,1196,-187,-420
05/04/2020 16:11:24.368,75300,AM1V310 @312248,10593,2A0412018200,1066,274,130
05/04/2020 16:11:24.428,75361,AM1V310 @312248,10600,6102090297FF,609,521,-105
05/04/2020 16:11:24.488,75421,AM1V310 @312248,10606,93048F004200,1171,143,66
05/04/2020 16:11:24.517,75450,AM1V310 @312248,10612,28033401E4FF,808,308,-28
05/04/2020 16:11:24.577,75510,AM1V310 @312248,10618,4503BA00D9FF,837,186,-39
05/04/2020 16:11:24.638,75571,AM1V310 @312248,10625,70049700FEFF,1136,151,-2
05/04/2020 16:11:24.668,75600,AM1V310 @312248,10631,AD03FA0098FF,941,250,-104
05/04/2020 16:11:24.728,75660,AM1V310 @312248,10637,EF03AB007DFF,1007,171,-131
05/04/2020 16:11:24.788,75721,AM1V310 @312248,10643,7A03B300AFFF,890,179,-81
05/04/2020 16:11:24.818,75750,AM1V310 @312248,10650,A5039600B2FF,933,150,-78
05/04/2020 16:11:24.878,75811,AM1V310 @312248,10656,E303580089FF,995,88,-119
05/04/2020 16:11:24.937,75871,AM1V310 @312248,10662,F00345007FFF,1008,69,-129
05/04/2020 16:11:24.969,75902,AM1V310 @312248,10668,C5035D0085FF,965,93,-123
05/04/2020 16:11:25.028,75960,AM1V310 @312248,10675,DC03660088FF,988,102,-120
05/04/2020 16:11:25.088,76020,AM1V310 @312248,10681,D10388007BFF,977,136,-133
05/04/2020 16:11:25.148,76080,AM1V310 @312248,10687,D50356009FFF,981,86,-97
05/04/2020 16:11:25.208,76141,AM1V310 @312248,10693,CF034B006BFF,975,75,-149
05/04/2020 16:11:25.297,76231,AM1V310 @312248,10700,D4035F007DFF,980,95,-131
05/04/2020 16:11:25.330,76263,AM1V310 @312248,10706,D2034B007DFF,978,75,-131
05/04/2020 16:11:25.331,76264,AM1V310 @312248,10712,D103490086FF,977,73,-122
05/04/2020 16:11:25.388,76321,AM1V310 @312248,10718,CB03470088FF,971,71,-120
05/04/2020 16:11:25.417,76350,AM1V310 @312248,10725,D903540098FF,985,84,-104
05/04/2020 16:11:25.477,76411,AM1V310 @312248,10731,D5033D0088FF,981,61,-120
05/04/2020 16:11:25.537,76470,AM1V310 @312248,10737,D00331007FFF,976,49,-129
05/04/2020 16:11:25.567,76500,AM1V310 @312248,10743,D303320077FF,979,50,-137
05/04/2020 16:11:25.627,76560,AM1V310 @312248,10750,CB0349008AFF,971,73,-118
05/04/2020 16:11:25.688,76621,AM1V310 @312248,10756,DE033B0088FF,990,59,-120
05/04/2020 16:11:25.717,76650,AM1V310 @312248,10762,C90332008DFF,969,50,-115
05/04/2020 16:11:25.777,76710,AM1V310 @312248,10768,D5031A00A3FF,981,26,-93
05/04/2020 16:11:25.838,76770,AM1V310 @312248,10775,C903820022FF,969,130,-222
05/04/2020 16:11:25.867,76800,AM1V310 @312248,10781,E203110052FF,994,17,-174
05/04/2020 16:11:25.927,76860,AM1V310 @312248,10787,E403DEFF51FF,996,-34,-175
