Logged started on,06/04/2020 10:46:06
Feature,Gyroscope
Nodes,AM1V310 @312248

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
06/04/2020 10:51:59.266,352701,AM1V310 @312248,2029,DEFF98004900,-3.4,15.2,7.3
06/04/2020 10:51:59.296,352719,AM1V310 @312248,2035,AEFF96006A00,-8.2,15,10.6
06/04/2020 10:51:59.356,352779,AM1V310 @312248,2042,9CFF8E006F00,-10,14.2,11.1
06/04/2020 10:51:59.416,352839,AM1V310 @312248,2048,04FFFC005400,-25.2,25.2,8.4
06/04/2020 10:51:59.446,352869,AM1V310 @312248,2054,3D01B10157FF,31.7,43.3,-16.9
06/04/2020 10:51:59.506,352929,AM1V310 @312248,2060,E704B202A5FD,125.5,69,-60.3
06/04/2020 10:51:59.566,352989,AM1V310 @312248,2067,740DB80388FB,344.4,95.2,-114.4
06/04/2020 10:51:59.596,353019,AM1V310 @312248,2073,CFFFE20400FB,-4.9,125,-128
06/04/2020 10:51:59.656,353079,AM1V310 @312248,2079,49FDDC0540FB,-69.5,150,-121.6
06/04/2020 10:51:59.716,353139,AM1V310 @312248,2085,41FAE208E3FB,-147.1,227.4,-105.3
06/04/2020 10:51:59.746,353169,AM1V310 @312248,2092,9AF88F0E72FF,-189.4,372.7,-14.2
06/04/2020 10:51:59.806,353229,AM1V310 @312248,2098,9AEE2712D505,-445.4,464.7,149.3
06/04/2020 10:51:59.866,353290,AM1V310 @312248,2104,D8EBE00BD20F,-516,304,405
06/04/2020 10:51:59.896,353319,AM1V310 @312248,2110,21FCA1FE4C17,-99.1,-35.1,596.4
06/04/2020 10:51:59.956,353379,AM1V310 @312248,2117,1E1673FEDF0D,566.2,-39.7,355.1
06/04/2020 10:52:00.016,353440,AM1V310 @312248,2123,E1EFCD027BF7,-412.7,71.7,-218.1
06/04/2020 10:52:00.047,353470,AM1V310 @312248,2129,AEFE1F0359F4,-33.8,79.9,-298.3
06/04/2020 10:52:00.106,353529,AM1V310 @312248,2135,C702E4FE54F2,71.1,-28.4,-350
06/04/2020 10:52:00.166,353590,AM1V310 @312248,2142,3F0D75F6B1F3,339.1,-244.3,-315.1
06/04/2020 10:52:00.196,353619,AM1V310 @312248,2148,B01154EF1FFC,452.8,-426.8,-99.3
06/04/2020 10:52:00.256,353679,AM1V310 @312248,2154,D1032EF18601,97.7,-379.4,39
06/04/2020 10:52:00.316,353739,AM1V310 @312248,2160,860667F51E05,167,-271.3,131
06/04/2020 10:52:00.346,353769,AM1V310 @312248,2167,C3FA96FB0903,-134.1,-113,77.7
06/04/2020 10:52:00.406,353829,AM1V310 @312248,2173,84FEC0FCC6FC,-38,-83.2,-82.6
06/04/2020 10:52:00.466,353890,AM1V310 @312248,2179,EBFE58FEDDFC,-27.7,-42.4,-80.3
06/04/2020 10:52:00.496,353919,AM1V310 @312248,2185,8A0285FE55FD,65,-37.9,-68.3
06/04/2020 10:52:00.586,354010,AM1V310 @312248,2192,50FFF2FE97FE,-17.6,-27,-36.1
06/04/2020 10:52:00.616,354039,AM1V310 @312248,2198,DEFDC1FE12FF,-54.6,-31.9,-23.8
06/04/2020 10:52:00.646,354069,AM1V310 @312248,2204,0FFD60FE5B00,-75.3,-41.6,9.1
06/04/2020 10:52:00.706,354129,AM1V310 @312248,2210,2AFD7BFE6B00,-72.6,-38.9,10.7
06/04/2020 10:52:00.766,354189,AM1V310 @312248,2217,39FEE8FE7000,-45.5,-28,11.2
06/04/2020 10:52:00.796,354219,AM1V310 @312248,2223,54FF73FF4200,-17.2,-14.1,6.6
06/04/2020 10:52:00.856,354279,AM1V310 @312248,2229,4001C4FF3D00,32,-6,6.1
06/04/2020 10:52:00.916,354339,AM1V310 @312248,2235,C3FF38002D00,-6.1,5.6,4.5
06/04/2020 10:52:00.946,354369,AM1V310 @312248,2242,F40246008AFF,75.6,7,-11.8
06/04/2020 10:52:01.006,354429,AM1V310 @312248,2248,EB00B6FF4500,23.5,-7.4,6.9
06/04/2020 10:52:01.066,354489,AM1V310 @312248,2254,3500A5FF7100,5.3,-9.1,11.3
06/04/2020 10:52:01.096,354519,AM1V310 @312248,2260,9C0066FFA500,15.6,-15.4,16.5
06/04/2020 10:52:01.166,354590,AM1V310 @312248,2267,280056FFD600,4,-17,21.4
06/04/2020 10:52:01.216,354639,AM1V310 @312248,2273,8C0080FF7000,14,-12.8,11.2
06/04/2020 10:52:01.246,354669,AM1V310 @312248,2279,5A00EFFFE7FF,9,-1.7,-2.5
06/04/2020 10:52:01.456,354880,AM1V310 @312248,2292,14000400E8FF,2,0.4,-2.4
06/04/2020 10:52:01.455,354880,AM1V310 @312248,2285,5500F9FFC3FF,8.5,-0.7,-6.1
06/04/2020 10:52:01.490,354913,AM1V310 @312248,2298,2D000600DCFF,4.5,0.6,-3.6
06/04/2020 10:52:01.490,354913,AM1V310 @312248,2304,0E000E00E5FF,1.4,1.4,-2.7
06/04/2020 10:52:01.545,354969,AM1V310 @312248,2310,F9FF0C00EEFF,-0.7,1.2,-1.8
06/04/2020 10:52:01.560,354983,AM1V310 @312248,2317,13001000DCFF,1.9,1.6,-3.6
06/04/2020 10:52:01.606,355029,AM1V310 @312248,2323,FBFF0B00F2FF,-0.5,1.1,-1.4
06/04/2020 10:52:01.666,355089,AM1V310 @312248,2329,F7FF0F00F4FF,-0.9,1.5,-1.2
06/04/2020 10:52:01.696,355119,AM1V310 @312248,2335,F8FF1900F1FF,-0.8,2.5,-1.5
06/04/2020 10:52:01.756,355179,AM1V310 @312248,2342,F7FF2000F0FF,-0.9,3.2,-1.6
06/04/2020 10:52:01.816,355239,AM1V310 @312248,2348,F0FF3500EEFF,-1.6,5.3,-1.8
06/04/2020 10:52:01.846,355269,AM1V310 @312248,2354,BAFF5600FCFF,-7,8.6,-0.4
06/04/2020 10:52:01.906,355329,AM1V310 @312248,2360,B1FF6800EAFF,-7.9,10.4,-2.2
06/04/2020 10:52:01.966,355389,AM1V310 @312248,2367,27003500C7FF,3.9,5.3,-5.7
06/04/2020 10:52:01.996,355419,AM1V310 @312248,2373,EBFF17000900,-2.1,2.3,0.9
06/04/2020 10:52:02.086,355510,AM1V310 @312248,2379,00001D00F7FF,0,2.9,-0.9
06/04/2020 10:52:02.121,355544,AM1V310 @312248,2385,EFFF3200EDFF,-1.7,5,-1.9
06/04/2020 10:52:02.146,355569,AM1V310 @312248,2392,F9FF2800E6FF,-0.7,4,-2.6
06/04/2020 10:52:02.206,355629,AM1V310 @312248,2398,DEFF3800E4FF,-3.4,5.6,-2.8
