Logged started on,27/03/2020 23:11:23
Feature,Gyroscope
Nodes,AM1V310 @312248

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
27/03/2020 23:19:16.510,473463,AM1V310 @312248,62208,07000000F2FF,0.7,0,-1.4
27/03/2020 23:19:16.510,473468,AM1V310 @312248,62215,81FF2C000700,-12.7,4.4,0.7
27/03/2020 23:19:16.553,473491,AM1V310 @312248,62227,54FF9B003B00,-17.2,15.5,5.9
27/03/2020 23:19:16.553,473491,AM1V310 @312248,62221,7BFF5D001E00,-13.3,9.3,3
27/03/2020 23:19:16.553,473492,AM1V310 @312248,62233,2EFFD0003C00,-21,20.8,6
27/03/2020 23:19:16.600,473539,AM1V310 @312248,62240,20FFEC001E00,-22.4,23.6,3
27/03/2020 23:19:16.690,473628,AM1V310 @312248,62246,4DFFEB00F0FF,-17.9,23.5,-1.6
27/03/2020 23:19:16.720,473658,AM1V310 @312248,62252,7BFFEE00B3FF,-13.3,23.8,-7.7
27/03/2020 23:19:16.750,473688,AM1V310 @312248,62258,0001EC00DDFF,25.6,23.6,-3.5
27/03/2020 23:19:16.810,473749,AM1V310 @312248,62265,340015014AFF,5.2,27.7,-18.2
27/03/2020 23:19:16.840,473779,AM1V310 @312248,62271,78002C015CFE,12,30,-42
27/03/2020 23:19:16.930,473869,AM1V310 @312248,62277,F40184017CFC,50,38.8,-90
27/03/2020 23:19:16.960,473898,AM1V310 @312248,62283,3702C0010DF9,56.7,44.8,-177.9
27/03/2020 23:19:16.990,473928,AM1V310 @312248,62290,410ACC06DFF3,262.5,174,-310.5
27/03/2020 23:19:17.050,473988,AM1V310 @312248,62296,61107501AAF3,419.3,37.3,-315.8
27/03/2020 23:19:17.110,474049,AM1V310 @312248,62302,4A070205F3F5,186.6,128.2,-257.3
27/03/2020 23:19:17.141,474079,AM1V310 @312248,62308,D704EA08D7FC,123.9,228.2,-80.9
27/03/2020 23:19:17.200,474139,AM1V310 @312248,62315,41FCC50FFE04,-95.9,403.7,127.8
27/03/2020 23:19:17.260,474199,AM1V310 @312248,62321,36F69614D00C,-250.6,527,328
27/03/2020 23:19:17.290,474228,AM1V310 @312248,62327,89F51E163D13,-267.9,566.2,492.5
27/03/2020 23:19:17.350,474288,AM1V310 @312248,62333,190218166318,53.7,565.6,624.3
27/03/2020 23:19:17.410,474349,AM1V310 @312248,62340,1A02F814B619,53.8,536.8,658.2
27/03/2020 23:19:17.440,474379,AM1V310 @312248,62346,2AFEFA008B00,-47,25,13.9
27/03/2020 23:19:17.500,474439,AM1V310 @312248,62352,300BDCF894F5,286.4,-182.8,-266.8
27/03/2020 23:19:17.560,474499,AM1V310 @312248,62358,6AFC8AF6C5F5,-91.8,-242.2,-261.9
27/03/2020 23:19:17.590,474529,AM1V310 @312248,62365,630094F3B8F7,9.9,-318,-212
27/03/2020 23:19:17.650,474588,AM1V310 @312248,62371,79FEB8EF8BF9,-39.1,-416.8,-165.3
27/03/2020 23:19:17.710,474649,AM1V310 @312248,62377,EA07F5ED2EFC,202.6,-461.9,-97.8
27/03/2020 23:19:17.740,474678,AM1V310 @312248,62383,45036AF3D2FF,83.7,-322.2,-4.6
27/03/2020 23:19:17.800,474739,AM1V310 @312248,62390,3002ECF9D001,56,-155.6,46.4
27/03/2020 23:19:17.860,474799,AM1V310 @312248,62396,4F049800D403,110.3,15.2,98
27/03/2020 23:19:17.890,474828,AM1V310 @312248,62402,9707E1015705,194.3,48.1,136.7
27/03/2020 23:19:17.980,474919,AM1V310 @312248,62408,2F052700BC07,132.7,3.9,198
27/03/2020 23:19:18.040,474978,AM1V310 @312248,62415,52FC20FE6904,-94.2,-48,112.9
27/03/2020 23:19:18.065,475003,AM1V310 @312248,62421,FBFB3EFF1000,-102.9,-19.4,1.6
27/03/2020 23:19:18.100,475038,AM1V310 @312248,62427,B2022FFCEAFD,69,-97.7,-53.4
27/03/2020 23:19:18.189,475128,AM1V310 @312248,62433,5204C2FC2C00,110.6,-83,4.4
27/03/2020 23:19:18.216,475154,AM1V310 @312248,62440,1C0042FF4D01,2.8,-19,33.3
27/03/2020 23:19:18.280,475218,AM1V310 @312248,62446,280283FE5C00,55.2,-38.1,9.2
27/03/2020 23:19:18.310,475248,AM1V310 @312248,62452,50007F00A901,8,12.7,42.5
27/03/2020 23:19:18.340,475278,AM1V310 @312248,62458,BCFFAC01C701,-6.8,42.8,45.5
27/03/2020 23:19:18.400,475338,AM1V310 @312248,62465,80FFD701FE01,-12.8,47.1,51
27/03/2020 23:19:18.460,475399,AM1V310 @312248,62471,57FE42010102,-42.5,32.2,51.3
27/03/2020 23:19:18.490,475428,AM1V310 @312248,62477,3C008B00A901,6,13.9,42.5
27/03/2020 23:19:18.550,475489,AM1V310 @312248,62483,6A0054004500,10.6,8.4,6.9
27/03/2020 23:19:18.610,475549,AM1V310 @312248,62490,29013A00C8FF,29.7,5.8,-5.6
27/03/2020 23:19:18.640,475578,AM1V310 @312248,62496,F0005800FEFF,24,8.8,-0.2
27/03/2020 23:19:18.730,475669,AM1V310 @312248,62502,A30074003A00,16.3,11.6,5.8
27/03/2020 23:19:18.760,475698,AM1V310 @312248,62508,150082002500,2.1,13,3.7
27/03/2020 23:19:18.790,475728,AM1V310 @312248,62515,52005600F7FF,8.2,8.6,-0.9
27/03/2020 23:19:18.850,475789,AM1V310 @312248,62521,66004600F0FF,10.2,7,-1.6
27/03/2020 23:19:18.911,475849,AM1V310 @312248,62527,24003A00E7FF,3.6,5.8,-2.5
27/03/2020 23:19:18.940,475878,AM1V310 @312248,62533,F2FF2E00E5FF,-1.4,4.6,-2.7
27/03/2020 23:19:19.000,475938,AM1V310 @312248,62540,9AFF27000A00,-10.2,3.9,1
27/03/2020 23:19:19.060,475998,AM1V310 @312248,62546,24FF43000D00,-22,6.7,1.3
27/03/2020 23:19:19.094,476033,AM1V310 @312248,62552,71FF3B000000,-14.3,5.9,0
27/03/2020 23:19:19.150,476089,AM1V310 @312248,62558,A8FF3500E2FF,-8.8,5.3,-3
27/03/2020 23:19:19.239,476178,AM1V310 @312248,62565,E4FF2500DFFF,-2.8,3.7,-3.3
27/03/2020 23:19:19.253,476192,AM1V310 @312248,62571,F7FF1F00E4FF,-0.9,3.1,-2.8
27/03/2020 23:19:19.300,476238,AM1V310 @312248,62577,F5FF1E00EFFF,-1.1,3,-1.7
27/03/2020 23:19:19.360,476298,AM1V310 @312248,62583,FEFF1600F0FF,-0.2,2.2,-1.6
