Logged started on,27/03/2020 23:11:23,,,,,,
Feature,Accelerometer,,,,,,
Nodes,AM1V310 @312248,,,,,,
,,,,,,,
Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
27/03/2020 23:14:36.190,193129,AM1V310 @312248,27177,D5036EFFA2FF,981,-146,-94
27/03/2020 23:14:36.250,193188,AM1V310 @312248,27183,DA0389FF9CFF,986,-119,-100
27/03/2020 23:14:36.340,193278,AM1V310 @312248,27190,DB038AFFC2FF,987,-118,-62
27/03/2020 23:14:36.374,193312,AM1V310 @312248,27196,DD0392FFC3FF,989,-110,-61
27/03/2020 23:14:36.400,193339,AM1V310 @312248,27202,D6038BFFD5FF,982,-117,-43
27/03/2020 23:14:36.490,193428,AM1V310 @312248,27208,D7038AFFF1FF,983,-118,-15
27/03/2020 23:14:36.512,193450,AM1V310 @312248,27215,F70380FF0900,1015,-128,9
27/03/2020 23:14:36.550,193488,AM1V310 @312248,27221,180433FF4C00,1048,-205,76
27/03/2020 23:14:36.640,193578,AM1V310 @312248,27227,8505D9FE4500,1413,-295,69
27/03/2020 23:14:36.666,193604,AM1V310 @312248,27233,CE07B4FB6901,1998,-1100,361
27/03/2020 23:14:36.700,193638,AM1V310 @312248,27240,CE0732F817FA,1998,-1998,-1513
27/03/2020 23:14:36.760,193699,AM1V310 @312248,27246,CE076100C5FA,1998,97,-1339
27/03/2020 23:14:36.790,193728,AM1V310 @312248,27252,65071D03D3FB,1893,797,-1069
27/03/2020 23:14:36.850,193788,AM1V310 @312248,27258,7C03D8061102,892,1752,529
27/03/2020 23:14:36.910,193849,AM1V310 @312248,27265,B301CC07E102,435,1996,737
27/03/2020 23:14:36.940,193879,AM1V310 @312248,27271,A4066A03D901,1700,874,473
27/03/2020 23:14:37.000,193939,AM1V310 @312248,27277,6707D5F80C02,1895,-1835,524
27/03/2020 23:14:37.060,193999,AM1V310 @312248,27283,CE0723FB3B01,1998,-1245,315
27/03/2020 23:14:37.090,194028,AM1V310 @312248,27290,CE078F00D8FB,1998,143,-1064
27/03/2020 23:14:37.150,194089,AM1V310 @312248,27296,6706CD0733F8,1639,1997,-1997
27/03/2020 23:14:37.210,194149,AM1V310 @312248,27302,A502C2054EFB,677,1474,-1202
27/03/2020 23:14:37.240,194179,AM1V310 @312248,27308,B207E201B0FD,1970,482,-592
27/03/2020 23:14:37.300,194239,AM1V310 @312248,27315,410287003FFE,577,135,-449
27/03/2020 23:14:37.361,194299,AM1V310 @312248,27321,F802D0FF3201,760,-48,306
27/03/2020 23:14:37.390,194329,AM1V310 @312248,27327,8503D9019603,901,473,918
27/03/2020 23:14:37.450,194389,AM1V310 @312248,27333,F103EEFF7D03,1009,-18,893
27/03/2020 23:14:37.510,194449,AM1V310 @312248,27340,2B0317014B04,811,279,1099
27/03/2020 23:14:37.541,194479,AM1V310 @312248,27346,7E054D00B203,1406,77,946
27/03/2020 23:14:37.601,194539,AM1V310 @312248,27352,20077601FB02,1824,374,763
27/03/2020 23:14:37.661,194599,AM1V310 @312248,27358,CE07CF001C01,1998,207,284
