Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
29/02/2020 16:25:05.570,2322737,AM1V310 @315648,293452,B503C1FFFFFE,949,-63,-257
29/02/2020 16:25:05.630,2322787,AM1V310 @315648,293458,B603BEFF02FF,950,-66,-254
29/02/2020 16:25:05.659,2322816,AM1V310 @315648,293464,B403C6FF00FF,948,-58,-256
29/02/2020 16:25:05.719,2322876,AM1V310 @315648,293470,BC03C9FF05FF,956,-55,-251
29/02/2020 16:25:05.810,2322967,AM1V310 @315648,293477,B503D1FF02FF,949,-47,-254
29/02/2020 16:25:05.839,2322996,AM1V310 @315648,293483,B503CBFF06FF,949,-53,-250
29/02/2020 16:25:05.869,2323025,AM1V310 @315648,293489,B603D0FF03FF,950,-48,-253
29/02/2020 16:25:05.930,2323087,AM1V310 @315648,293495,B903CFFF01FF,953,-49,-255
29/02/2020 16:25:05.959,2323116,AM1V310 @315648,293502,B603D7FF00FF,950,-41,-256
29/02/2020 16:25:06.020,2323177,AM1V310 @315648,293508,B803DAFF01FF,952,-38,-255
29/02/2020 16:25:06.081,2323238,AM1V310 @315648,293514,BB03D8FF07FF,955,-40,-249
29/02/2020 16:25:06.109,2323266,AM1V310 @315648,293520,B803E4FF08FF,952,-28,-248
29/02/2020 16:25:06.170,2323327,AM1V310 @315648,293527,B703E7FF07FF,951,-25,-249
29/02/2020 16:25:06.230,2323387,AM1V310 @315648,293533,B703E5FF0CFF,951,-27,-244
29/02/2020 16:25:06.259,2323416,AM1V310 @315648,293539,B903E5FF0AFF,953,-27,-246
29/02/2020 16:25:06.319,2323477,AM1V310 @315648,293545,B803DFFF0FFF,952,-33,-241
29/02/2020 16:25:06.380,2323537,AM1V310 @315648,293552,B903E0FF0EFF,953,-32,-242
29/02/2020 16:25:06.409,2323565,AM1V310 @315648,293558,BB03D1FF12FF,955,-47,-238
29/02/2020 16:25:06.469,2323626,AM1V310 @315648,293564,BA03D1FF0DFF,954,-47,-243
29/02/2020 16:25:06.529,2323687,AM1V310 @315648,293570,BB03D0FF10FF,955,-48,-240
29/02/2020 16:25:06.560,2323717,AM1V310 @315648,293577,BC03DBFF10FF,956,-37,-240
29/02/2020 16:25:06.621,2323778,AM1V310 @315648,293583,BD03D7FF16FF,957,-41,-234
29/02/2020 16:25:06.680,2323838,AM1V310 @315648,293589,BF03D6FF0EFF,959,-42,-242
29/02/2020 16:25:06.709,2323865,AM1V310 @315648,293595,BA03D8FF0FFF,954,-40,-241
29/02/2020 16:25:06.770,2323927,AM1V310 @315648,293602,BB03D9FF10FF,955,-39,-240
29/02/2020 16:25:06.830,2323987,AM1V310 @315648,293608,BA03D4FF16FF,954,-44,-234
29/02/2020 16:25:06.859,2324016,AM1V310 @315648,293614,BC03D6FF0BFF,956,-42,-245
29/02/2020 16:25:06.920,2324077,AM1V310 @315648,293620,BC03D4FF10FF,956,-44,-240
29/02/2020 16:25:06.981,2324138,AM1V310 @315648,293627,B603E2FF0FFF,950,-30,-241
29/02/2020 16:25:07.009,2324166,AM1V310 @315648,293633,BB03D7FF13FF,955,-41,-237
29/02/2020 16:25:07.070,2324227,AM1V310 @315648,293639,BB03E7FF11FF,955,-25,-239
29/02/2020 16:25:07.130,2324287,AM1V310 @315648,293645,B703E8FF14FF,951,-24,-236
29/02/2020 16:25:07.159,2324316,AM1V310 @315648,293652,BA03E9FF10FF,954,-23,-240
29/02/2020 16:25:07.221,2324378,AM1V310 @315648,293658,BC03ECFF12FF,956,-20,-238
29/02/2020 16:25:07.281,2324438,AM1V310 @315648,293664,BB03E3FF14FF,955,-29,-236
29/02/2020 16:25:07.309,2324466,AM1V310 @315648,293670,B903E4FF10FF,953,-28,-240
29/02/2020 16:25:07.370,2324527,AM1V310 @315648,293677,BD03E9FF15FF,957,-23,-235
29/02/2020 16:25:07.430,2324587,AM1V310 @315648,293683,BC03E2FF12FF,956,-30,-238
29/02/2020 16:25:07.460,2324617,AM1V310 @315648,293689,BD03E6FF15FF,957,-26,-235
29/02/2020 16:25:07.521,2324678,AM1V310 @315648,293695,BC03E6FF17FF,956,-26,-233
29/02/2020 16:25:07.580,2324737,AM1V310 @315648,293702,BB03E3FF16FF,955,-29,-234
29/02/2020 16:25:07.609,2324766,AM1V310 @315648,293708,C003E1FF17FF,960,-31,-233
29/02/2020 16:25:07.670,2324827,AM1V310 @315648,293714,BC03E4FF13FF,956,-28,-237
29/02/2020 16:25:07.730,2324887,AM1V310 @315648,293720,BC03E6FF18FF,956,-26,-232
29/02/2020 16:25:07.759,2324916,AM1V310 @315648,293727,BD03E9FF18FF,957,-23,-232
29/02/2020 16:25:07.820,2324978,AM1V310 @315648,293733,BC03E4FF15FF,956,-28,-235
29/02/2020 16:25:07.880,2325038,AM1V310 @315648,293739,BD03DDFF19FF,957,-35,-231
29/02/2020 16:25:07.909,2325066,AM1V310 @315648,293745,BB03EDFF12FF,955,-19,-238
29/02/2020 16:25:07.970,2325127,AM1V310 @315648,293752,C303E0FF16FF,963,-32,-234
29/02/2020 16:25:08.030,2325187,AM1V310 @315648,293758,B803E2FF12FF,952,-30,-238
29/02/2020 16:25:08.060,2325217,AM1V310 @315648,293764,C003D9FF16FF,960,-39,-234
29/02/2020 16:25:08.121,2325278,AM1V310 @315648,293770,BF03E3FF1AFF,959,-29,-230
29/02/2020 16:25:08.180,2325337,AM1V310 @315648,293777,C103EEFF1BFF,961,-18,-229
29/02/2020 16:25:08.210,2325367,AM1V310 @315648,293783,BF03E7FF17FF,959,-25,-233
29/02/2020 16:25:08.270,2325427,AM1V310 @315648,293789,C403F5FF25FF,964,-11,-219
29/02/2020 16:25:08.330,2325487,AM1V310 @315648,293795,C4030B0036FF,964,11,-202
29/02/2020 16:25:08.360,2325517,AM1V310 @315648,293802,C703D9FF13FF,967,-39,-237
29/02/2020 16:25:08.420,2325577,AM1V310 @315648,293808,EF03D5FF2FFF,1007,-43,-209
29/02/2020 16:25:08.481,2325638,AM1V310 @315648,293814,C403A2FF37FF,964,-94,-201
29/02/2020 16:25:08.509,2325665,AM1V310 @315648,293820,9E043AFF46FF,1182,-198,-186
29/02/2020 16:25:08.570,2325727,AM1V310 @315648,293827,B0070BFE93FE,1968,-501,-365
29/02/2020 16:25:08.630,2325787,AM1V310 @315648,293833,CE07A5FAADFE,1998,-1371,-339
29/02/2020 16:25:08.660,2325817,AM1V310 @315648,293839,CE07DEFE56FB,1998,-290,-1194
29/02/2020 16:25:08.719,2325876,AM1V310 @315648,293845,67071E0285FB,1895,542,-1147
29/02/2020 16:25:08.781,2325938,AM1V310 @315648,293852,6D0306028CFE,877,518,-372
29/02/2020 16:25:08.809,2325966,AM1V310 @315648,293858,89065BFFC5FE,1673,-165,-315
29/02/2020 16:25:08.870,2326027,AM1V310 @315648,293864,CE0734FFFAFD,1998,-204,-518
29/02/2020 16:25:08.929,2326086,AM1V310 @315648,293870,CE0761FE8000,1998,-415,128
29/02/2020 16:25:08.961,2326118,AM1V310 @315648,293877,CE071B054BF8,1998,1307,-1973
29/02/2020 16:25:09.020,2326177,AM1V310 @315648,293883,CE07CD0789F8,1998,1997,-1911
29/02/2020 16:25:09.080,2326237,AM1V310 @315648,293889,1A03CD0765F8,794,1997,-1947
29/02/2020 16:25:09.109,2326265,AM1V310 @315648,293895,45065F07BAF9,1605,1887,-1606
29/02/2020 16:25:09.170,2326326,AM1V310 @315648,293902,A307E50120FE,1955,485,-480
29/02/2020 16:25:09.230,2326387,AM1V310 @315648,293908,CE079EFF52FF,1998,-98,-174
29/02/2020 16:25:09.259,2326416,AM1V310 @315648,293914,CE07C4FD3600,1998,-572,54
29/02/2020 16:25:09.320,2326477,AM1V310 @315648,293920,CE070EFD2201,1998,-754,290
29/02/2020 16:25:09.380,2326537,AM1V310 @315648,293927,EB06DCFD5000,1771,-548,80
29/02/2020 16:25:09.409,2326565,AM1V310 @315648,293933,4705E1FE4D00,1351,-287,77
29/02/2020 16:25:09.470,2326627,AM1V310 @315648,293939,D1069AFC6201,1745,-870,354
29/02/2020 16:25:09.530,2326687,AM1V310 @315648,293945,CE07F3FE3300,1998,-269,51
29/02/2020 16:25:09.559,2326716,AM1V310 @315648,293952,C607520124FE,1990,338,-476
29/02/2020 16:25:09.620,2326777,AM1V310 @315648,293958,4C049D04BBFD,1100,1181,-581
