Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
29/02/2020 16:25:05.570,2322739,AM1V310 @315648,293452,0A000600EEFF,1,0.6,-1.8
29/02/2020 16:25:05.630,2322787,AM1V310 @315648,293458,00000700E0FF,0,0.7,-3.2
29/02/2020 16:25:05.659,2322816,AM1V310 @315648,293464,01000600D6FF,0.1,0.6,-4.2
29/02/2020 16:25:05.719,2322876,AM1V310 @315648,293470,F5FF0700D4FF,-1.1,0.7,-4.4
29/02/2020 16:25:05.810,2322967,AM1V310 @315648,293477,F1FF0800DAFF,-1.5,0.8,-3.8
29/02/2020 16:25:05.839,2322996,AM1V310 @315648,293483,F2FF0500DDFF,-1.4,0.5,-3.5
29/02/2020 16:25:05.869,2323026,AM1V310 @315648,293489,EFFF0700DDFF,-1.7,0.7,-3.5
29/02/2020 16:25:05.930,2323087,AM1V310 @315648,293495,F5FF0600D9FF,-1.1,0.6,-3.9
29/02/2020 16:25:05.959,2323116,AM1V310 @315648,293502,F0FF0700D1FF,-1.6,0.7,-4.7
29/02/2020 16:25:06.020,2323177,AM1V310 @315648,293508,EFFF0B00D6FF,-1.7,1.1,-4.2
29/02/2020 16:25:06.081,2323238,AM1V310 @315648,293514,F2FF1000D8FF,-1.4,1.6,-4
29/02/2020 16:25:06.109,2323265,AM1V310 @315648,293520,F6FF1000D9FF,-1,1.6,-3.9
29/02/2020 16:25:06.170,2323327,AM1V310 @315648,293527,FEFF1000EBFF,-0.2,1.6,-2.1
29/02/2020 16:25:06.230,2323387,AM1V310 @315648,293533,04001100F6FF,0.4,1.7,-1
29/02/2020 16:25:06.259,2323416,AM1V310 @315648,293539,0D000F00FDFF,1.3,1.5,-0.3
29/02/2020 16:25:06.319,2323476,AM1V310 @315648,293545,12000D000900,1.8,1.3,0.9
29/02/2020 16:25:06.380,2323537,AM1V310 @315648,293552,2.50009E+11,3.7,0.9,1.8
29/02/2020 16:25:06.409,2323565,AM1V310 @315648,293558,2.80007E+11,4,0.7,0.7
29/02/2020 16:25:06.469,2323626,AM1V310 @315648,293564,1E000400F6FF,3,0.4,-1
29/02/2020 16:25:06.529,2323687,AM1V310 @315648,293570,15000400E9FF,2.1,0.4,-2.3
29/02/2020 16:25:06.560,2323717,AM1V310 @315648,293577,10000200EEFF,1.6,0.2,-1.8
29/02/2020 16:25:06.621,2323778,AM1V310 @315648,293583,0E000200F0FF,1.4,0.2,-1.6
29/02/2020 16:25:06.680,2323838,AM1V310 @315648,293589,1700FEFFE9FF,2.3,-0.2,-2.3
29/02/2020 16:25:06.709,2323865,AM1V310 @315648,293595,1500FEFFE8FF,2.1,-0.2,-2.4
29/02/2020 16:25:06.770,2323927,AM1V310 @315648,293602,10000000F5FF,1.6,0,-1.1
29/02/2020 16:25:06.830,2323987,AM1V310 @315648,293608,0B000100F5FF,1.1,0.1,-1.1
29/02/2020 16:25:06.859,2324016,AM1V310 @315648,293614,02000300EAFF,0.2,0.3,-2.2
29/02/2020 16:25:06.920,2324077,AM1V310 @315648,293620,EEFF0800DCFF,-1.8,0.8,-3.6
29/02/2020 16:25:06.981,2324138,AM1V310 @315648,293627,F6FF0700D6FF,-1,0.7,-4.2
29/02/2020 16:25:07.009,2324166,AM1V310 @315648,293633,F7FF0700D4FF,-0.9,0.7,-4.4
29/02/2020 16:25:07.070,2324227,AM1V310 @315648,293639,F9FF0600DBFF,-0.7,0.6,-3.7
29/02/2020 16:25:07.130,2324287,AM1V310 @315648,293645,FEFF0200DEFF,-0.2,0.2,-3.4
29/02/2020 16:25:07.159,2324316,AM1V310 @315648,293652,00000400F0FF,0,0.4,-1.6
29/02/2020 16:25:07.221,2324378,AM1V310 @315648,293658,07000100F7FF,0.7,0.1,-0.9
29/02/2020 16:25:07.281,2324438,AM1V310 @315648,293664,02000700FDFF,0.2,0.7,-0.3
29/02/2020 16:25:07.309,2324466,AM1V310 @315648,293670,03000500FAFF,0.3,0.5,-0.6
29/02/2020 16:25:07.370,2324527,AM1V310 @315648,293677,08000600F9FF,0.8,0.6,-0.7
29/02/2020 16:25:07.430,2324587,AM1V310 @315648,293683,06000700F8FF,0.6,0.7,-0.8
29/02/2020 16:25:07.460,2324617,AM1V310 @315648,293689,04000400F5FF,0.4,0.4,-1.1
29/02/2020 16:25:07.521,2324678,AM1V310 @315648,293695,03000700F4FF,0.3,0.7,-1.2
29/02/2020 16:25:07.580,2324737,AM1V310 @315648,293702,06000500F5FF,0.6,0.5,-1.1
29/02/2020 16:25:07.609,2324765,AM1V310 @315648,293708,0C000500EFFF,1.2,0.5,-1.7
29/02/2020 16:25:07.670,2324827,AM1V310 @315648,293714,0E000500E9FF,1.4,0.5,-2.3
29/02/2020 16:25:07.730,2324887,AM1V310 @315648,293720,0B000500EAFF,1.1,0.5,-2.2
29/02/2020 16:25:07.759,2324916,AM1V310 @315648,293727,10000300EFFF,1.6,0.3,-1.7
29/02/2020 16:25:07.820,2324977,AM1V310 @315648,293733,12000300F6FF,1.8,0.3,-1
29/02/2020 16:25:07.881,2325038,AM1V310 @315648,293739,12000300F2FF,1.8,0.3,-1.4
29/02/2020 16:25:07.909,2325065,AM1V310 @315648,293745,0A000000FBFF,1,0,-0.5
29/02/2020 16:25:07.970,2325127,AM1V310 @315648,293752,FDFF0200FDFF,-0.3,0.2,-0.3
29/02/2020 16:25:08.030,2325187,AM1V310 @315648,293758,05000500FCFF,0.5,0.5,-0.4
29/02/2020 16:25:08.060,2325217,AM1V310 @315648,293764,0D000B00E8FF,1.3,1.1,-2.4
29/02/2020 16:25:08.121,2325278,AM1V310 @315648,293770,FDFF1200D6FF,-0.3,1.8,-4.2
29/02/2020 16:25:08.180,2325337,AM1V310 @315648,293777,F8FF1D00D1FF,-0.8,2.9,-4.7
29/02/2020 16:25:08.210,2325367,AM1V310 @315648,293783,E8FF2E00C8FF,-2.4,4.6,-5.6
29/02/2020 16:25:08.270,2325427,AM1V310 @315648,293789,E2FF3A00B6FF,-3,5.8,-7.4
29/02/2020 16:25:08.330,2325487,AM1V310 @315648,293795,90FF4A00CBFF,-11.2,7.4,-5.3
29/02/2020 16:25:08.360,2325517,AM1V310 @315648,293802,98FF6400BAFF,-10.4,10,-7
29/02/2020 16:25:08.420,2325577,AM1V310 @315648,293808,F6FF8C0054FF,-1,14,-17.2
29/02/2020 16:25:08.481,2325638,AM1V310 @315648,293814,B5009D00BEFE,18.1,15.7,-32.2
29/02/2020 16:25:08.509,2325665,AM1V310 @315648,293820,E900C400FFFC,23.3,19.6,-76.9
29/02/2020 16:25:08.570,2325727,AM1V310 @315648,293827,4C007E0083F9,7.6,12.6,-166.1
